FIPS,P00_TF_T,P00_TM_T,NMR_TF0,NMR_TF5,NMR_TF10,NMR_TF15,NMR_TF20,NMR_TF25,NMR_TF30,NMR_TF35,NMR_TF40,NMR_TF45,NMR_TF50,NMR_TF55,NMR_TF60,NMR_TF65,NMR_TF70,NMR_TF75,NMR_TF80,NMR_TF85,NMR_TM0,NMR_TM5,NMR_TM10,NMR_TM15,NMR_TM20,NMR_TM25,NMR_TM30,NMR_TM35,NMR_TM40,NMR_TM45,NMR_TM50,NMR_TM55,NMR_TM60,NMR_TM65,NMR_TM70,NMR_TM75,NMR_TM80,NMR_TM85
34033,32970,31251,0.04,0.06,0.04,-0.08,-0.27,-0.16,0.03,0.04,0.02,-0.03,-0.06,-0.09,-0.09,-0.09,-0.03,0,-0.06,-0.13,0.05,0.05,0.05,-0.03,-0.32,-0.23,-0.01,0.05,0.05,0.02,-0.02,-0.05,-0.09,-0.15,-0.09,-0.04,0.03,-0.26
34035,151469,146453,0.11,0.14,0.17,0.05,-0.07,0.44,0.69,0.29,0.18,0.15,0.07,-0.01,-0.09,-0.13,-0.06,0.09,0.17,0.68,0.07,0.13,0.17,0.1,-0.04,0.29,0.54,0.28,0.16,0.14,0.05,-0.01,-0.1,-0.19,-0.15,-0.05,-0.04,0.31
34037,72038,71270,0.12,0.16,0.06,-0.12,-0.38,-0.13,0.45,0.27,0.08,0,-0.07,-0.1,-0.09,-0.06,0,0.09,0.12,0.22,0.09,0.15,0.06,-0.08,-0.38,-0.22,0.28,0.31,0.12,0.04,-0.06,-0.1,-0.11,-0.12,-0.09,-0.02,0.14,0.54
34039,270266,255223,0.03,0.01,0.04,0.01,0.06,0.19,0.18,0.08,0.01,0,-0.04,-0.09,-0.14,-0.17,-0.16,-0.1,-0.09,-0.08,0.03,0.02,0.02,0.04,0.05,0.16,0.17,0.07,0.01,-0.02,-0.03,-0.09,-0.15,-0.24,-0.25,-0.14,-0.16,-0.15
34041,52305,50160,0.14,0.15,0.05,-0.03,-0.26,0,0.29,0.28,0.11,0.06,0.01,-0.03,-0.06,-0.04,0.06,0.04,0.05,0.07,0.16,0.15,0.09,-0.01,-0.26,-0.1,0.37,0.27,0.11,0.08,0.02,0,-0.07,-0.07,-0.05,0.03,0.05,0.06
35001,283180,273337,0,-0.02,-0.01,0.06,0.25,0.25,0.04,-0.01,0,0.03,0.02,0,-0.01,0.01,0.04,0.08,0.11,0.27,-0.02,-0.02,-0.01,0.05,0.24,0.27,0.11,-0.01,-0.01,0.01,0.01,0.01,0,0,0.05,0.07,0.11,0.39
35003,1721,1820,0.04,0.27,0.5,0,-0.55,-0.38,0.44,0.71,0.66,0.63,0.61,1.02,1.19,0.77,0.22,0.28,0.04,-0.31,0.1,0.61,0.19,0.31,-0.61,-0.4,0.16,0.37,0.22,0.39,1.01,1.28,1.31,1.03,0.32,0.05,-0.29,-0.56
35005,31270,30287,-0.04,0.04,0.02,-0.02,-0.21,-0.18,0.03,0.01,-0.02,0.06,0.05,0.09,0.13,0.05,0.03,-0.01,-0.07,-0.1,0.05,0.08,0.04,0.03,-0.25,-0.39,-0.07,0.06,0.03,0.04,0.02,0.04,0.16,0.17,0.13,0.09,0.01,-0.13
35006,13261,12782,-0.03,-0.01,-0.02,-0.15,-0.29,-0.23,0.08,0.03,0,-0.04,-0.06,0.02,0.05,-0.03,-0.13,-0.19,-0.13,0.2,-0.06,-0.02,-0.02,-0.14,-0.32,-0.25,0.08,0,-0.05,-0.01,0.03,0.01,0.04,0.09,0,-0.1,-0.24,0.51
35007,6983,7237,0.03,0.07,0.05,-0.09,-0.44,-0.13,0.13,0.15,0.08,0.11,0.13,0.28,0.3,0.12,-0.03,0.01,-0.07,0.05,0.01,0.18,0.14,0.35,-0.48,-0.54,0.49,0.21,0.24,0.14,0.18,0.36,0.34,0.28,0.12,0.06,-0.01,0.08
35009,22858,22556,-0.09,-0.18,-0.13,-0.06,-0.01,0,-0.06,-0.15,-0.1,-0.13,-0.03,-0.02,0.01,0.03,0.02,-0.01,-0.02,-0.07,-0.06,-0.2,-0.08,-0.06,0.23,0,-0.2,-0.17,-0.12,-0.18,-0.06,-0.03,0.02,0.07,0.04,0.05,0.1,0.23
35011,1131,1094,0.18,0.13,0.19,-0.24,-0.44,-0.18,0.08,0.02,0.07,-0.09,0.05,0.09,0,0.11,-0.05,-0.11,0.09,0.1,0.12,0.24,0.13,-0.02,-0.62,-0.31,0.15,0.05,0.14,0.12,0.16,-0.05,0.13,0.4,0.07,-0.23,0.54,0.29
